Dimension,Probability,No_of_blocks,Density,Cells_Processed,Shortest_Path_In_Final_Discovered_Grid,Shortest_Path_In_Full_Grid,Outcome,Trajectory_length,Time_taken
101,0.05,512,0.050191158,226,213,213,1,215,0.030915737
101,0.05,514,0.050387217,214,205,205,1,205,0.035753012
101,0.05,496,0.048622684,215,207,205,1,207,0.034904957
101,0.05,506,0.04960298,213,207,207,1,207,0.015957355
101,0.05,519,0.050877365,229,211,207,1,215,0.043859482
101,0.05,520,0.050975395,231,217,217,1,217,0.032903433
101,0.05,531,0.05205372,229,213,213,1,217,0.042467833
101,0.05,512,0.050191158,224,213,209,1,213,0.028176069
101,0.05,493,0.048328595,213,207,207,1,209,0.01693058
101,0.05,511,0.050093128,220,207,207,1,209,0.041888475
101,0.05,528,0.051759631,221,211,211,1,211,0.027889967
101,0.05,546,0.053524164,231,215,215,1,219,0.033911705
101,0.05,510,0.049995099,208,203,203,1,203,0.020974159
101,0.05,494,0.048426625,225,215,215,1,217,0.025929213
101,0.05,546,0.053524164,220,209,209,1,209,0.035178661
101,0.05,519,0.050877365,223,209,205,1,211,0.041865349
101,0.05,495,0.048524654,226,211,211,1,213,0.047338963
101,0.05,481,0.04715224,217,209,209,1,209,0.029853344
101,0.05,473,0.046368003,224,209,209,1,215,0.025962114
101,0.05,518,0.050779335,222,209,209,1,211,0.024630308
101,0.05,482,0.04725027,237,219,219,1,223,0.032942533
101,0.05,533,0.052249779,224,209,209,1,213,0.047101259
101,0.05,526,0.051563572,225,215,215,1,217,0.01883316
101,0.05,490,0.048034506,222,211,211,1,213,0.020944118
101,0.05,502,0.049210862,218,207,207,1,209,0.030954361
101,0.05,520,0.050975395,221,211,211,1,211,0.028957605
101,0.05,523,0.051269483,226,213,213,1,215,0.025928497
101,0.05,543,0.053230075,221,211,211,1,211,0.037833691
101,0.05,514,0.050387217,216,207,207,1,207,0.030919313
101,0.05,513,0.050289187,209,201,201,1,201,0.047908545
101,0.05,472,0.046269974,222,209,209,1,209,0.044915676
101,0.05,532,0.05215175,218,207,207,1,209,0.03689909
101,0.05,479,0.046956181,225,207,207,1,209,0.054853916
101,0.05,511,0.050093128,232,217,215,1,221,0.027915001
101,0.09,952,0.093324184,253,223,221,1,229,0.068936586
101,0.09,883,0.086560141,257,223,221,1,235,0.051921606
101,0.09,962,0.09430448,237,215,211,1,217,0.054876566
101,0.09,907,0.088912852,244,221,221,1,223,0.058881998
101,0.09,935,0.091657681,257,229,227,1,237,0.05482173
101,0.09,932,0.091363592,235,,,0,,0.554677963
101,0.09,922,0.090383296,231,215,215,1,215,0.037914038
101,0.09,909,0.089108911,245,215,215,1,225,0.055881739
101,0.09,946,0.092736006,232,215,215,1,217,0.036923409
101,0.09,916,0.089795118,250,221,221,1,229,0.042914867
101,0.09,935,0.091657681,226,211,207,1,211,0.048867464
101,0.09,880,0.086266052,232,217,217,1,219,0.042917013
101,0.09,871,0.085383786,252,219,219,1,233,0.032911777
101,0.09,960,0.094108421,228,213,211,1,213,0.040857792
101,0.09,903,0.088520733,241,217,213,1,219,0.054856777
101,0.09,846,0.082933046,239,215,213,1,219,0.051897049
101,0.09,928,0.090971473,253,221,221,1,239,0.042882442
101,0.09,970,0.095088717,239,221,217,1,221,0.049865007
101,0.09,927,0.090873444,254,227,215,1,227,0.05990243
101,0.09,933,0.091461621,244,221,219,1,225,0.051859617
101,0.09,940,0.092147829,243,219,219,1,221,0.055850744
101,0.09,865,0.084795608,240,215,209,1,223,0.057883501
101,0.09,916,0.089795118,251,223,221,1,227,0.05392313
101,0.09,970,0.095088717,247,221,217,1,229,0.057884216
101,0.09,928,0.090971473,243,213,213,1,219,0.052912474
101,0.09,866,0.084893638,245,219,221,1,231,0.042847872
101,0.09,849,0.083227135,223,209,209,1,211,0.036879778
101,0.09,923,0.090481325,242,215,215,1,217,0.072126865
101,0.09,918,0.089991177,237,215,213,1,223,0.038934231
101,0.09,909,0.089108911,243,221,219,1,223,0.064827919
101,0.09,897,0.087932556,221,211,211,1,211,0.015625
101,0.09,971,0.095186746,246,215,213,1,221,0.06846571
101,0.09,912,0.089403,258,227,227,1,235,0.059866428
101,0.09,934,0.091559651,248,217,217,1,227,0.058840752
101,0.09,935,0.091657681,257,223,223,1,237,0.054886103
101,0.09,929,0.091069503,3,,,0,,0.011999607
101,0.09,913,0.089501029,252,225,223,1,233,0.044912815
101,0.09,981,0.096167042,234,215,215,1,219,0.042883396
101,0.09,960,0.094108421,225,209,207,1,211,0.059877157
101,0.09,906,0.088814822,259,219,215,1,233,0.068547964
101,0.09,901,0.088324674,238,215,213,1,217,0.063888073
101,0.09,934,0.091559651,227,209,209,1,213,0.044846535
101,0.09,910,0.08920694,247,219,219,1,229,0.03989172
101,0.09,1017,0.099696108,245,219,215,1,225,0.049770355
101,0.09,926,0.090775414,252,219,219,1,229,0.067841053
101,0.09,900,0.088226644,236,213,213,1,219,0.062885523
101,0.09,953,0.093422214,235,215,217,1,217,0.04288435
101,0.09,851,0.083423194,249,221,221,1,229,0.036930323
101,0.09,882,0.086462112,262,217,217,1,239,0.069852352
101,0.09,917,0.089893148,240,213,213,1,221,0.058843374
101,0.09,945,0.092637977,222,211,209,1,211,0.028951168
101,0.09,928,0.090971473,262,229,229,1,239,0.069401503
101,0.09,914,0.089599059,253,221,221,1,231,0.048867464
101,0.09,877,0.085971964,225,209,207,1,211,0.04387784
101,0.09,918,0.089991177,248,221,221,1,221,0.059877872
101,0.09,969,0.094990687,258,223,223,1,237,0.045909166
101,0.09,904,0.088618763,244,219,219,1,227,0.045881033
101,0.09,906,0.088814822,234,213,211,1,215,0.047887802
101,0.09,954,0.093520243,255,225,225,1,231,0.057860374
101,0.09,877,0.085971964,259,227,225,1,231,0.063369751
101,0.09,912,0.089403,217,205,205,1,205,0.044785023
101,0.09,957,0.093814332,240,217,215,1,219,0.059612751
101,0.09,880,0.086266052,240,217,217,1,221,0.071178913
101,0.09,942,0.092343888,232,207,207,1,211,0.050383329
101,0.09,905,0.088716792,245,219,215,1,225,0.064112186
101,0.09,880,0.086266052,236,213,213,1,219,0.057662249
101,0.09,894,0.087638467,235,217,217,1,221,0.031913519
101,0.09,911,0.08930497,253,215,215,1,231,0.070524454
101,0.09,884,0.086658171,236,213,211,1,217,0.066315413
101,0.09,986,0.09665719,261,225,227,1,237,0.066888332
101,0.09,914,0.089599059,224,211,209,1,211,0.035903215
101,0.09,915,0.089697089,238,213,213,1,219,0.067891836
101,0.09,923,0.090481325,249,209,209,1,231,0.075531721
101,0.09,902,0.088422704,237,217,217,1,221,0.0400002
101,0.09,903,0.088520733,243,213,213,1,227,0.050898075
101,0.09,932,0.091363592,258,227,227,1,235,0.044876814
101,0.09,942,0.092343888,239,211,211,1,221,0.054841757
101,0.09,910,0.08920694,236,217,215,1,217,0.047864914
101,0.09,932,0.091363592,238,219,217,1,219,0.045842886
101,0.09,856,0.083913342,226,211,211,1,211,0.042021036
101,0.09,926,0.090775414,249,,,0,,0.528186083
101,0.09,936,0.09175571,247,221,221,1,227,0.048985243
101,0.09,889,0.087148319,230,209,209,1,213,0.044914484
101,0.09,838,0.082148809,233,213,211,1,215,0.059904337
101,0.09,917,0.089893148,254,221,219,1,231,0.067416191
101,0.09,924,0.090579355,238,215,215,1,223,0.057922363
101,0.09,925,0.090677385,232,213,213,1,215,0.047909498
101,0.09,898,0.088030585,258,229,229,1,235,0.04890871
101,0.09,962,0.09430448,245,227,227,1,229,0.024930954
101,0.09,915,0.089697089,238,219,219,1,221,0.035850525
101,0.09,882,0.086462112,230,213,213,1,213,0.048145771
101,0.09,884,0.086658171,241,215,215,1,223,0.04629612
101,0.09,911,0.08930497,231,211,211,1,213,0.053318739
101,0.09,940,0.092147829,254,223,223,1,229,0.073142529
101,0.09,905,0.088716792,236,213,211,1,219,0.046298265
101,0.09,945,0.092637977,244,217,217,1,223,0.049699068
101,0.09,929,0.091069503,231,213,209,1,215,0.053917646
101,0.09,923,0.090481325,232,211,211,1,215,0.050860882
101,0.09,906,0.088814822,242,217,215,1,223,0.057844639
101,0.09,929,0.091069503,244,221,221,1,227,0.043879509
101,0.13,1321,0.129497108,275,231,225,1,245,0.083172798
101,0.13,1283,0.125771983,262,227,227,1,233,0.079883099
101,0.13,1298,0.127242427,309,245,245,1,267,0.098034859
101,0.13,1308,0.128222723,252,221,211,1,227,0.073975801
101,0.13,1291,0.12655622,250,217,217,1,225,0.075220823
101,0.13,1283,0.125771983,317,247,239,1,269,0.125943422
101,0.13,1295,0.126948338,271,229,223,1,247,0.048683882
101,0.13,1308,0.128222723,287,237,235,1,255,0.070539474
101,0.13,1351,0.132437996,273,233,229,1,243,0.072885036
101,0.13,1306,0.128026664,293,239,235,1,265,0.056753397
101,0.13,1322,0.129595138,270,223,223,1,247,0.063890457
